"","lon","lat"
"177",-122.8457324,49.1521818
"178",-122.8896462,49.1485343
"179",-122.8026912,49.1932117
"180",-122.7786683,49.0454921
"181",-122.7791351,49.0434614
"182",-122.734933,49.1187252
"183",-122.7771723,49.1933631
"184",-122.6826194,49.1148629
"185",-122.8680695,49.1716982
"186",-122.854058,49.1879819
"187",-122.8449669,49.1407896
"188",-122.8455282,49.1334851
"189",-122.8786244,49.2043332
"190",-122.8369325,49.1912172
"191",-122.7409258,49.1036117
"192",-122.8011739,49.1045154
"193",-122.8563905,49.1576992
"194",-122.8874428,49.1704279
"195",-122.7978963,49.1940836
"196",-122.8823843,49.155793
"197",-122.8513335,49.1774023
"198",-122.8413807,49.1808096
"199",-122.8453711,49.1878884
"200",-122.8104324,49.1841809
"201",-122.7790105,49.157423
"202",-122.6853872,49.119172
"203",-122.8565479,49.1752663
"204",-122.8454059,49.1842491
"205",-122.8876673,49.1948247
"206",-122.8679958,49.1554236
"207",-122.8232639,49.1337855
"208",-122.8567819,49.1445649
"209",-122.8846963,49.1721445
"210",-122.8010616,49.1191135
"211",-122.854066,49.1360429
"212",-122.7935746,49.1630841
"213",-122.7346666,49.1380072
"214",-122.8801156,49.2041957
"215",-122.8673355,49.2062642
"216",-122.842706,49.1915394
"217",-122.8313633,49.1914663
"218",-122.7565009,49.1163216
"219",-122.8631007,49.1742537
"220",-122.8456282,49.1407871
"221",-122.8009668,49.1842033
"222",-122.8447011,49.1554508
"223",-122.8417383,49.1861215
"224",-122.8455318,49.1262414
"225",-122.7348502,49.1114495
"226",-122.8680816,49.1482197
"227",-122.8867584,49.1507227
"228",-122.8483399,49.2025657
"229",-122.8386006,49.1372403
"230",-122.8122772,49.1841227
"231",-122.8011661,49.1336432
"232",-122.79539,49.047892
"233",-122.8457043,49.1261844
"234",-122.8456278,49.1396832
"235",-122.8284677,49.1765066
"236",-122.8004927,49.1969965
"237",-122.8674434,49.2064008
"238",-122.799978,49.196644
"239",-122.7014081,49.1266122
"240",-122.8556519,49.1874245
"241",-122.8015659,49.1627892
"242",-122.8036949,49.1821804
"243",-122.8454059,49.1842491
"244",-122.8232639,49.1337855
"245",-122.8456069,49.1371466
"246",-122.834643,49.1627301
"247",-122.8566835,49.1336715
"248",-122.8228202,49.1984438
"249",-122.8041188,49.1668488
"250",-122.8008855,49.1842028
"251",-122.7771723,49.1933631
"252",-122.7378978,49.118355
"253",-122.8456377,49.1500221
"254",-122.8679714,49.1625474
"255",-122.8497567,49.2007023
"256",-122.7631796,49.1903157
"257",-122.8011187,49.126365
"258",-122.8344448,49.178799
"259",-122.8679044,49.1481299
"260",-122.8013318,49.1555436
"261",-122.79325,49.0457794
"262",-122.834,49.1823
"263",-122.844707,49.2029618
"264",-122.8532587,49.204102
"265",-122.7632674,49.1903149
"266",-122.838742,49.1335504
"267",-122.6889196,49.1049493
"268",-122.8122234,49.0418954
"269",-122.8922591,49.2042294
"270",-122.8622548,49.1481184
"271",-122.8232355,49.1190821
"272",-122.7348864,49.1233776
"273",-122.7350025,49.1040924
"274",-122.8006217,49.1878075
"275",-122.8394229,49.1970264
"276",-122.8485968,49.1552184
"277",-122.8100026,49.1864221
"278",-122.6876198,49.1764362
"279",-122.8233821,49.1396003
"280",-122.7299801,49.1078406
"281",-122.7789034,49.1605899
"282",-122.8315871,49.1045115
"283",-122.8456819,49.1481481
"284",-122.8762373,49.1338707
"285",-122.8701261,49.1878375
"286",-122.80932,49.192904
"287",-122.8009282,49.1861205
"288",-122.8013132,49.0615267
"289",-122.7354991,49.0601899
"290",-122.7089184,49.1769971
"291",-122.8470118,49.1323536
"292",-122.8568598,49.1626889
"293",-122.8564806,49.1989606
"294",-122.8568598,49.1626889
"295",-122.8371369,49.1877611
"296",-122.7563848,49.1479833
"297",-122.7348772,49.1625943
"298",-122.7048003,49.0970605
"299",-122.8455285,49.1335286
"300",-122.838742,49.1335504
"301",-122.8679969,49.1503182
"302",-122.8456164,49.1190038
"303",-122.8414393,49.1851615
"304",-122.843169,49.1843253
"305",-122.8485839,49.162509
"306",-122.8092,49.1915
"307",-122.8071675,49.0603858
"308",-122.7789581,49.1768624
"309",-122.8796898,49.2059772
"310",-122.8317682,49.18938
"311",-122.8235246,49.1628117
"312",-122.8568228,49.1771471
"313",-122.8823345,49.1992715
"314",-122.883337,49.1629549
"315",-122.8652884,49.1770678
"316",-122.8567971,49.1409403
"317",-122.8381823,49.1370883
"318",-122.8175919,49.1937234
"319",-122.800097,49.1930261
"320",-122.8009668,49.1842033
"321",-122.7902688,49.1616665
"322",-122.7567028,49.1042239
"323",-122.8011661,49.1336432
"324",-122.8678486,49.1410308
"325",-122.8011784,49.1768821
"326",-122.8124861,49.1987331
"327",-122.853801,49.194451
"328",-122.6886901,49.122029
"329",-122.7900987,49.0428098
"330",-122.8791065,49.133986
"331",-122.8568228,49.1771471
"332",-122.834454,49.133685
"333",-122.7980011,49.1858113
